"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2019","598.800","576.000","600.000","571.200","44.15K","2.89%"
"10/24/2019","582.000","576.000","586.800","566.400","33.98K","0.62%"
"10/23/2019","578.400","558.000","584.400","550.800","52.07K","2.77%"
"10/22/2019","562.800","567.600","576.000","558.000","38.48K","-2.29%"
"10/21/2019","576.000","580.800","586.800","553.200","42.31K","-0.21%"
"10/18/2019","577.200","612.000","614.400","576.000","55.73K","-5.87%"
"10/17/2019","613.200","600.000","616.800","584.400","73.26K","7.81%"
"10/16/2019","568.800","603.600","603.600","568.800","43.42K","-4.63%"
"10/15/2019","596.400","574.800","609.600","559.200","78.55K","2.26%"
"10/11/2019","583.200","591.600","613.800","574.800","76.84K","-2.02%"
"10/10/2019","595.200","642.000","648.000","594.000","81.08K","-9.32%"
"10/09/2019","656.400","667.200","685.200","654.000","32.66K","-0.91%"
"10/08/2019","662.400","652.800","679.200","630.000","52.13K","0.36%"
"10/07/2019","660.000","696.000","696.000","656.400","61.16K","-5.82%"
"10/04/2019","700.800","738.000","742.800","697.200","53.74K","-2.83%"
"10/03/2019","721.200","678.000","723.600","652.800","80.32K","8.09%"
"10/02/2019","667.200","639.600","691.200","606.000","115.42K","2.21%"
"10/01/2019","652.800","690.000","699.600","643.200","99.05K","-6.53%"
"09/30/2019","698.400","726.000","730.800","688.800","54.50K","-4.90%"
"09/27/2019","734.400","745.200","768.000","732.000","36.49K","-3.16%"
"09/26/2019","758.400","777.600","780.000","745.200","22.48K","-0.16%"
"09/25/2019","759.600","753.600","775.200","720.000","51.81K","0.64%"
"09/24/2019","754.800","804.000","806.400","751.200","48.02K","-6.40%"
"09/23/2019","806.400","786.000","836.400","784.800","44.12K","0.75%"
"09/20/2019","800.400","812.400","813.600","786.000","57.34K","-2.34%"
"09/19/2019","819.600","840.000","842.400","818.400","24.38K","-2.71%"
"09/18/2019","842.400","835.200","862.800","828.000","36.58K","0.43%"
"09/17/2019","838.800","858.000","882.000","817.200","67.39K","-3.72%"
"09/16/2019","871.200","918.000","927.600","867.600","76.54K","-7.75%"
"09/13/2019","944.400","937.200","955.200","921.000","43.30K","1.55%"
"09/12/2019","930.000","934.800","956.400","912.000","94.23K","-8.93%"
"09/11/2019","1,021.200","993.600","1,028.400","975.600","55.26K","3.15%"
"09/10/2019","990.000","950.400","992.400","932.400","34.93K","4.30%"
"09/09/2019","949.200","984.000","990.000","931.200","38.90K","-1.37%"
"09/06/2019","962.400","933.600","982.800","919.200","44.12K","3.48%"
"09/05/2019","930.000","889.200","931.200","882.000","34.88K","4.73%"
"09/04/2019","888.000","924.000","928.800","865.800","45.35K","-2.25%"
"09/03/2019","908.400","874.800","910.800","870.000","29.78K","3.13%"
"08/30/2019","880.800","890.400","894.000","874.800","23.53K","-0.54%"
"08/29/2019","885.600","902.400","904.800","880.800","25.35K","-0.81%"
"08/28/2019","892.800","878.400","900.000","860.400","31.23K","0.54%"
"08/27/2019","888.000","921.600","931.200","885.600","29.39K","-3.65%"
"08/26/2019","921.600","908.400","930.000","882.000","35.96K","2.13%"
"08/23/2019","902.400","912.000","937.200","900.000","26.70K","-2.46%"
"08/22/2019","925.200","931.200","946.800","921.600","19.31K","-1.28%"
"08/21/2019","937.200","949.200","954.000","930.000","27.22K","-0.76%"
"08/20/2019","944.400","937.200","960.000","925.200","31.92K","0.90%"
"08/19/2019","936.000","986.400","986.400","920.400","36.97K","-1.39%"
"08/16/2019","949.200","925.200","975.600","918.000","39.80K","3.67%"
"08/15/2019","915.600","948.000","960.000","902.400","77.99K","-5.80%"
"08/14/2019","972.000","1,033.200","1,038.000","968.400","49.43K","-8.16%"
"08/13/2019","1,058.400","1,032.000","1,069.200","1,026.000","24.10K","1.38%"
"08/12/2019","1,044.000","1,026.000","1,048.800","998.400","22.48K","1.05%"
"08/09/2019","1,033.200","1,051.200","1,058.400","1,012.800","22.96K","-2.49%"
"08/08/2019","1,059.600","1,081.200","1,087.200","1,050.000","24.58K","0.23%"
"08/07/2019","1,057.200","1,082.400","1,088.400","1,046.400","35.52K","-2.65%"
"08/06/2019","1,086.000","1,069.200","1,141.200","1,050.000","106.26K","7.87%"
"08/02/2019","1,006.800","986.400","1,010.400","952.800","58.11K","7.84%"
"08/01/2019","933.600","985.200","999.600","927.600","38.84K","-5.58%"
"07/31/2019","988.800","1,006.800","1,008.000","986.400","17.37K","0.37%"
"07/30/2019","985.200","957.600","1,017.600","948.000","40.25K","0.12%"
"07/29/2019","984.000","1,003.200","1,005.600","949.200","46.88K","-2.84%"
"07/26/2019","1,012.800","1,026.000","1,041.000","1,004.400","18.90K","-1.06%"
"07/25/2019","1,023.600","1,030.800","1,055.400","1,020.000","16.83K","-0.70%"
"07/24/2019","1,030.800","1,044.000","1,048.800","1,022.400","13.89K","-1.72%"
"07/23/2019","1,048.800","1,054.800","1,069.200","1,038.000","18.53K","-0.68%"
"07/22/2019","1,056.000","1,069.200","1,071.600","1,014.000","29.34K","-1.35%"
